Accession,tp8,tp10,tp12,tp14,tp16,tp18,tp20,tp22,tp26,tp28,tp30,tp32,tp34,tp36,tp38,tp40,tp42,tp44,tp46,tp48,tp2,tp4,tp6
PF3D7_0100100.1,121.238235,129.378601,181.516388,181.817932,165.696167,125.597092,60.140068,31.831379,16.231754,13.065475,9.558969,9.452169,11.515408,17.201557,22.590082,25.134195,29.686689,23.310333,28.143251,16.789259,24.085279,49.520832,45.418949
PF3D7_0100200.1,2.896665,1.412917,3.129366,4.34026,5.910993,8.547746,5.880655,6.241172,3.092147,2.053151,0.828895,0,1.170493,1.948586,3.11544,4.894121,3.541488,1.992466,2.805933,2.085097,1.954354,2.110372,1.387222
PF3D7_0100300.1,101.598984,70.74984,61.632271,43.060268,78.488091,20.776991,43.845207,25.429922,9.690875,3.463749,2.893895,2.450269,1.170019,1.052997,0,0,0,2.183558,5.479074,5.845584,10.822006,31.660288,7.172196
PF3D7_0100400.1,0.440953,1.569134,2.214823,2.748803,5.650711,7.526945,7.296036,7.225159,4.273893,1.301685,0.798903,1.348827,1.058288,1.654404,1.426015,0.908797,1.622877,0.982644,2.713855,0.861429,0.540356,1.117387,0.826057
PF3D7_0100500.1,0,0,0,0,0,0,0,1.248045,0,0,0,3.317238,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100600.1,0,1.14078,1.776007,3.402301,5.762677,6.246774,4.647346,4.484894,1.522536,0,0.687668,0.498133,0.152211,0.328085,0.283558,0,0,0.24674,0,0,0,0.588719,0.847422
PF3D7_0100700.1,0,0,0,0,0,0,0,0.231347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100800.1,0,1.074297,3.430649,2.864601,3.134158,6.035563,3.983939,3.683958,1.771263,0.364287,1.113084,0,0.496632,0,0,0,0.306558,1.01817,0,0,0,0,0.79525
PF3D7_0100900.1,1.214705,1.719365,1.709497,4.43439,8.553564,7.653909,6.546834,10.964716,10.19803,12.286581,8.706181,4.222686,3.094527,1.182324,1.114136,0.648254,0.275501,0,0.63272,0.547032,0.615375,1.181759,1.468929
PF3D7_0101000.1,0,0.365984,2.698656,5.220026,5.201497,4.86624,5.097103,3.737213,3.253059,0.325076,1.306809,1.20995,2.196034,0.395505,0,0.823802,0.281502,0.583423,0.204503,0.425542,0,1.177581,2.047065
